File,prediction,class
BPAI-F-LPR-2-2-OUT_11_25_2024_16-38-20_665.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR-2-2-OUT_11_25_2024_16-38-20_93.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
BPAI-F-LPR_5-3-OUT_11_25_2024_16-40-08_2101.jpg,"motorcycle, tuk tuk",0
BPAI-F-LPR_5-3-OUT_11_26_2024_05-59-38_21222.jpg,bus,4
BPAI_F-LPR_5-3-IN_11_25_2024_16-39-23_1159.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00004.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00010.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00011.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00023.jpg,"motorcycle, tuk tuk",0
frame_00024.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00034.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00037.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00040.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00041.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00046.jpg,2-row car,3
frame_00047.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00048.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00050.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00051.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00053.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00057.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00058.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00059.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00066.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00067.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00077.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00079.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00080.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00082.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00090.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00091.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00104.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00106.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00122.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00123.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00124.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00133.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00135.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00149.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00150.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00161.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00162.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00175.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00176.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00177.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00187.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00191.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00193.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00214.jpg,"motorcycle, tuk tuk",0
frame_00226.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00227.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00234.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00235.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00237.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00260.jpg,"6-wheel truck, fire truck (6 wheel)",6
frame_00261.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00271.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00272.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00277.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00284.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00286.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00287.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00295.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00296.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00312.jpg,semi-trailer truck,9
frame_00313.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00315.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00327.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00328.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00331.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00340.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00370.jpg,"6-wheel truck, fire truck (6 wheel)",6
frame_00371.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00372.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00375.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00389.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00400.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00413.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00414.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00415.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00422.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00424.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00434.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00442.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00453.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00464.jpg,bus,4
frame_00465.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00466.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00467.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00468.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00471.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00472.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00474.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00480.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00481.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00482.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00491.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00494.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00510.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00519.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00537.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00558.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00559.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00570.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00587.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00588.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00590.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00597.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00599.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00611.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00614.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00623.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00624.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00625.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00628.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00636.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00638.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00639.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00640.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00641.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00646.jpg,semi-trailer truck,9
frame_00647.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00648.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00649.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00658.jpg,"6-wheel truck, fire truck (6 wheel)",6
frame_00659.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00673.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00678.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00686.jpg,"6-wheel truck, fire truck (6 wheel)",6
frame_00694.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00696.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00697.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00718.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00728.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00729.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00730.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00731.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00734.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00746.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00748.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00749.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00750.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00758.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00760.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00761.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00762.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00763.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00780.jpg,"motorcycle, tuk tuk",0
frame_00790.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00791.jpg,"6-wheel truck, fire truck (6 wheel)",6
frame_00806.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00808.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00809.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_00815.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00816.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00831.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00832.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00834.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00845.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00856.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00857.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00858.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00860.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00874.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00878.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00879.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00893.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00894.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00903.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00904.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00914.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00915.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00916.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00922.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00925.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00926.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00927.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00938.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00939.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00940.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00941.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00948.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00963.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00964.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00965.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00979.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_00980.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00993.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_00996.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_00998.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01012.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01024.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01025.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01026.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01039.jpg,"motorcycle, tuk tuk",0
frame_01043.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01046.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01050.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01051.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01052.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01053.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01055.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01064.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01065.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01079.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01105.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01120.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01121.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01122.jpg,"6-wheel truck, fire truck (6 wheel)",6
frame_01124.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01134.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01135.jpg,"6-wheel truck, fire truck (6 wheel)",6
frame_01144.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01146.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01154.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01155.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01157.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01164.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01166.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01169.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01178.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01179.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01181.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01182.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01188.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01190.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01192.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01205.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01218.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01227.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01228.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01229.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01230.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01238.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01239.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01252.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01254.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01255.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01256.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01265.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01267.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01280.jpg,"motorcycle, tuk tuk",0
frame_01292.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01293.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01296.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01309.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01310.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01311.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01313.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01321.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01322.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01324.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01337.jpg,semi-trailer truck,9
frame_01338.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01352.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01369.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01372.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01381.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01382.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01410.jpg,"motorcycle, tuk tuk",0
frame_01411.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01412.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01413.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01424.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01425.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01448.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01449.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01451.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01454.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01461.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01462.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01463.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01464.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01470.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01471.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01473.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01475.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01476.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01484.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01485.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01486.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01487.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01497.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01500.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01501.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01507.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01508.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01509.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01510.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01527.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01535.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01536.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01545.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01546.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01547.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01548.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01551.jpg,"SUV, van, ambulance (more than 7 seats)",2
frame_01559.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01560.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01562.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01571.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01572.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01574.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01575.jpg,"sedan, taxi, jeep, coupe Sedan (less than 7 seats)",1
frame_01582.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01584.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01585.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01593.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01598.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01599.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01601.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01611.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01613.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01625.jpg,"10-wheel truck, 10-wheel fire truck, cement truck, 10-wheel gas truck",7
frame_01626.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01646.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01647.jpg,"4-wheel truck, Pickup truck, garbage truck (4 wheel)",5
frame_01648.jpg,full-trailer truck,8
frame_01661.jpg,"SUV, van, ambulance (more than 7 seats)",2
